skills,major,education_level,pay,location
Artificial Intelligence,Computer Science,Bachelor's degree|Master's degree,,Ohio
Metadata,Computer Science,Bachelor's degree,,Pennsylvania
Data Manipulation Language,Computer Science,No Education Listed,85280.0,Ohio
Machine Learning,Computer Science,Master's degree|Ph.D. or professional degree,,California
"Data Manipulation, Machine Learning Algorithms",Computer Science,Bachelor's degree|Master's degree,,Texas
Artificial Intelligence,Computer Science,Bachelor's degree,122500.0,New York
Machine Learning,Computer Science,Master's degree|Ph.D. or professional degree,,New Jersey
Machine Learning,Computer Science,Bachelor's degree,102500.0,California
Metadata,Computer Science,Master's degree|Ph.D. or professional degree,,Georgia
Metadata,Computer Science,Master's degree,,New York
"Machine Learning, Metadata",Computer Science,Bachelor's degree,85000.0,California
"Apache Hadoop, Machine Learning",Computer Science,Bachelor's degree,,California
Data Manipulation,Computer Science,No Education Listed,,New Jersey
Machine Learning,Computer Science,Ph.D. or professional degree,,Washington
Data Manipulation Language,Computer Science,No Education Listed,69950.0,Massachusetts
Artificial Intelligence,Computer Science,No Education Listed,87500.0,Illinois
Metadata,Computer Science,Bachelor's degree,,Georgia
Machine Learning,Computer Science,Bachelor's degree,,Washington
Machine Learning,Computer Science,Master's degree,,California
Machine Learning,Computer Science,Master's degree|Ph.D. or professional degree,,California
Data Manipulation,Computer Science,Bachelor's degree,,Virginia
Data Engineering,Computer Science,High school or GED|Bachelor's degree,,North Carolina
"Machine Learning, Metadata",Computer Science,Bachelor's degree|Master's degree,,California
Transformer (Machine Learning Model),Computer Science,Bachelor's degree,,New Jersey
Metadata,Computer Science,Bachelor's degree,,Illinois
Machine Learning,Computer Science,No Education Listed,,California
"XML Metadata Interchange, Metadata",Computer Science,Bachelor's degree,,Maryland
Machine Learning,Computer Science,High school or GED,,Michigan
Data Engineering,Computer Science,High school or GED,,Kentucky
Data Manipulation,Computer Science,Bachelor's degree|Master's degree,,California
Machine Learning,Computer Science,No Education Listed,,Texas
Artificial Intelligence,Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Colorado
Artificial Intelligence,Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Maryland
Machine Learning,Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,California
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,California
Data Manipulation,Computer Science,No Education Listed,79129.0,Utah
Artificial Intelligence,Computer Science,No Education Listed,,Florida
Machine Learning,Computer Science,Master's degree|Ph.D. or professional degree,153600.0,Washington
Metadata Management,Computer Science,Bachelor's degree|Master's degree,,Ohio
Artificial Intelligence,Computer Science,Bachelor's degree|Master's degree,,Virginia
"Metadata Standards, Metadata",Computer Science,Bachelor's degree,,"Washington, D.C. (District of Columbia)"
Transformer (Machine Learning Model),Computer Science,Bachelor's degree,,Illinois
Machine Learning,Computer Science,Associate degree|Bachelor's degree,,Florida
Machine Learning,Computer Science,Ph.D. or professional degree,,Florida
Apache Hadoop,Computer Science,No Education Listed,170000.0,Virginia
Data Manipulation,Computer Science,No Education Listed,43680.0,Georgia
Apache Hadoop,Computer Science,Bachelor's degree,,New York
Data Manipulation,Computer Science,Bachelor's degree,,Illinois
Data Manipulation,Computer Science,Bachelor's degree,,California
Metadata,Computer Science,Bachelor's degree,,Hawaii
Data Manipulation Language,Computer Science,High school or GED,,Wyoming
Metadata,Computer Science,Bachelor's degree,,New Jersey
Torch (Machine Learning),Computer Science,High school or GED,29141.0,Washington
Artificial Intelligence,Computer Science,Bachelor's degree,,Illinois
"Apache Hadoop, Machine Learning Algorithms, Machine Learning",Computer Science,Ph.D. or professional degree,,California
Apache Spark,Computer Science,Bachelor's degree,,California
Machine Learning,Computer Science,No Education Listed,,New York
Metadata,Computer Science,Bachelor's degree|Master's degree,,North Carolina
"Big Data, Machine Learning",Computer Science,No Education Listed,,Arkansas
Metadata,Computer Science,No Education Listed,,Ohio
"Apache Hadoop, MapR (Big Data)",Computer Science,No Education Listed,,Texas
Machine Learning,Computer Science,No Education Listed,,Illinois
Data Manipulation,Computer Science,No Education Listed,,Alaska
Machine Learning,Computer Science,Master's degree|Ph.D. or professional degree,,Colorado
Data Manipulation,Computer Science,Bachelor's degree,,California
Splunk,Computer Science,Bachelor's degree,,California
Artificial Intelligence,Computer Science,No Education Listed,,Florida
Machine Learning,Computer Science,Bachelor's degree,,Illinois
Artificial Intelligence,Computer Science,High school or GED|Bachelor's degree,,Missouri
Data Manipulation,Computer Science,Bachelor's degree,,Florida
"Metadata Repository, Metadata",Computer Science,Bachelor's degree,,Connecticut
Data Manipulation,Computer Science,Bachelor's degree,,Michigan
Data Manipulation Language,Computer Science,Bachelor's degree,,California
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,Washington
Metadata,Computer Science,No Education Listed,42000.0,Illinois
"Metadata Management, Metadata",Computer Science,Associate degree|Bachelor's degree,,Minnesota
Big Data,Computer Science,Master's degree,,Massachusetts
Metadata,Computer Science,High school or GED|Associate degree,,North Carolina
"Big Data, Machine Learning",Computer Science,No Education Listed,,New York
Splunk,Computer Science,Bachelor's degree,,California
"Apache Hadoop, Data Engineering",Computer Science,Bachelor's degree,,Missouri
Machine Learning,Computer Science,Master's degree,,California
Apache Hadoop,Computer Science,Bachelor's degree,,Massachusetts
Machine Learning,Computer Science,Ph.D. or professional degree,,California
"Apache Hadoop, Machine Learning Methods",Computer Science,Ph.D. or professional degree,,California
"Apache Hadoop, Machine Learning Algorithms, Machine Learning",Computer Science,Bachelor's degree|Master's degree,,California
Splunk,Computer Science,No Education Listed,,Colorado
Data Manipulation,Computer Science,Master's degree|Ph.D. or professional degree,,Texas
Data Engineering,Computer Science,No Education Listed,57897.0,Mississippi
Metadata,Computer Science,Bachelor's degree,,Oregon
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,Massachusetts
Apache Hadoop,Computer Science,Bachelor's degree,,California
Machine Learning,Computer Science,No Education Listed,,California
Big Data,Computer Science,Bachelor's degree,,Massachusetts
Machine Learning,Computer Science,Bachelor's degree,130000.0,Illinois
Artificial Intelligence,Computer Science,No Education Listed,,New York
